timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1512744060451,1002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-341,text,false,,2131,0,413,413,0,0,1002
1512744060453,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-349,text,false,,2131,0,412,412,0,0,1003
1512744060455,1002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-334,text,false,,2131,0,411,411,0,0,1002
1512744060459,1002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-345,text,false,,2131,0,410,410,0,0,1002
1512744060458,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-335,text,false,,2131,0,410,410,0,0,1003
1512744060458,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-344,text,false,,2131,0,410,410,0,0,1003
1512744060465,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-339,text,false,,2131,0,407,407,0,0,1005
1512744060463,1007,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-338,text,false,,2131,0,407,407,0,0,1007
1512744060465,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-348,text,false,,2131,0,407,407,0,0,1005
1512744060474,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-353,text,false,,2131,0,404,404,0,0,1003
1512744060476,1001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-360,text,false,,2131,0,404,404,0,0,1001
1512744060471,1006,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-342,text,false,,2131,0,404,404,0,0,1006
1512744060474,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-352,text,false,,2131,0,401,401,0,0,1005
1512744060474,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-343,text,false,,2131,0,401,401,0,0,1005
1512744060477,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-361,text,false,,2131,0,399,399,0,0,1003
1512744060480,1002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-346,text,false,,2131,0,398,398,0,0,1002
1512744060481,1002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-356,text,false,,2131,0,397,397,0,0,1002
1512744060482,1001,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-347,text,false,,2131,0,397,397,0,0,1001
1512744060483,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-357,text,false,,2131,0,395,395,0,0,1005
1512744060484,1004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-364,text,false,,2131,0,395,395,0,0,1004
1512744060489,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-350,text,false,,2131,0,393,393,0,0,1003
1512744060487,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-365,text,false,,2131,0,393,393,0,0,1005
1512744060490,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-351,text,false,,2131,0,391,391,0,0,1005
1512744060492,1005,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-368,text,false,,2131,0,390,390,0,0,1005
1512744060496,1004,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-354,text,false,,2131,0,389,389,0,0,1004
1512744060498,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-355,text,false,,2131,0,388,388,0,0,1003
1512744060501,1002,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-372,text,false,,2131,0,387,387,0,0,1002
1512744060508,1000,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-359,text,false,,2131,0,386,386,0,0,1000
1512744060505,1003,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-358,text,false,,2131,0,386,386,0,0,1003
